meta_industry,requirement,count
Financial and Investment,Stress management,1
Healthcare and Medical,MSO Practice Operations experience,2
Services,Procurement certifications (SCMP/CPM/CPSM),1
Services,Drafting communications,1
Manufacturing,Shipping,1
Technology,OSAs,3
Technology,"Telecom arena: collocation, wholesale, data transit/transport ",1
Retail and Consumer Goods,Contract management,1
Retail and Consumer Goods,Service level agreement monitoring,1
Retail and Consumer Goods,"Bend, squat, twist",1
Healthcare and Medical,Information Technology degree,1
Services,Authorize purchase requisitions and change requests,1
Services,Ensure adherence to policies and procedures,1
Services,Adhere to regulations and documentation requirements,1
Technology,Two years' experience working as a project manager of communication or electronic systems,1
Healthcare and Medical,Self-Starter,1
Technology,Data Transit,1
Technology,Bachelors Degree in Accounting,2
Technology,Oral/written communication,1
Technology,3-8+ years B2B sales in telecom,3
Technology,RESTful APIs,1
Retail and Consumer Goods,Lead medium and large complexity projects,1
Services,3 years experience in Architecture,1
Healthcare and Medical,React,1
Healthcare and Medical,Experience with Microsoft Office products,1
Healthcare and Medical,Experience with medical records documentation,1
Services,global / large Engineering / EPC / EPCM firms,1
Services,2-5 years of experience,1
Manufacturing,Problem-solving abilities,1
Technology,1 year IT experience (preferred),1
Services,culinary instruction,1
Real Estate and Construction,Verbal communication skills,3
Services,Define and execute local SEO and location-based strategy,1
Education and Training,"College credits in Early Childhood Education or Child Development, preferred",1
Technology,Liaises with regulatory agencies,1
Technology,"Fast-paced, team environment",3
Technology, Networking (TCP/IP),1
Manufacturing,Lean tools,1
Services,Software development phases,1
Healthcare and Medical,Excellent interpersonal skills,1
Services,Product Labeling,1
Services,PC,1
Real Estate and Construction,1 – 3 years of related experience,1
Technology,Updating prospect activities,1
Technology,Vendor management ,1
Healthcare and Medical,Identify resident service/care plans,1
Retail and Consumer Goods,Gather scope and requirements,1
Services,"Professional certification (CPA, CMA) (plus)",1
Services,procurement,1
Services,Assist in jurisdictional disputes and negotiations,1
Retail and Consumer Goods,5+ years' experience in marketing,1
Government and Public Policy,"Clean driving record (no more than 1 moving violation in the past year, no more than 2 in the past 4)",1
Healthcare and Medical,Filing Systems,1
Technology,  - MS Windows 10,1
Technology,"Experience on daily operations of a Datacenter ( Diesel Generator, UPS, HVAC)",2
Retail and Consumer Goods,Microsoft Office not requested,1
Retail and Consumer Goods,Define business requirements,1
Media and Entertainment,Digital marketing basics,1
Healthcare and Medical,"Compliance with HIPAA, OSHA, Compliance, and IT standards and policies",1
Media and Entertainment,Navigate different technical scenarios,1
Healthcare and Medical,External reviews and audits management,1
Real Estate and Construction,Background check and drug test,1
Healthcare and Medical,Healthcare delivery systems experience,1
Technology,Recommend corrective action for environmental hazards,1
Technology,Database design,1
Technology,3-5 years experience with an Internet Service Provider and/or Telecommunications company,1
Technology,"Identify, qualify and generate new business through prospecting/research",1
Technology,Work in fast-paced team environment with deadlines,1
Technology,Telecom sales experience,1
Healthcare and Medical,JavaScript,1
Technology,Robotics,1
Services,Humility,1
Healthcare and Medical,Bachelor's or Master's Degree,1
Education and Training,10+ years experience managing a team,1
Technology,- OSAs,1
Technology,Network architectures and telecom infrastructure,1
Technology,Willingness to travel (50-75%),1
Real Estate and Construction,Market trends and conditions,1
Financial and Investment,1 year cash handling and customer service experience (for Bachelor's degree holders),1
Transportation and Logistics,ICAR Welding Certificate,1
Media and Entertainment,Production Assistance,1
Healthcare and Medical,Android SDK,1
Manufacturing,Minimum 21 years of age,3
Services,Healthcare fraud,1
Technology,5+ years of experience on telecommunication networks,3
Technology,"Data center operations (Diesel Generator, UPS, HVAC)",1
Media and Entertainment,Effective written and verbal communication skills in English,1
Retail and Consumer Goods,"MBA in business, economics, finance, procurement legal or comparable",1
Services,Bachelors Degree in Architecture,1
Retail and Consumer Goods,Tailor-alteration,1
Healthcare and Medical,Prioritizing,1
Government and Public Policy,More relevant work experience,1
Services,Workers Compensation Claim’s Management experience,1
Services,Accountability and reliability,1
Technology,AD Manager,1
Technology,understanding and following SOPs accurately,1
Technology,Interpersonal,1
Real Estate and Construction,Company policies and procedures,1
Technology,Prospecting ,2
Media and Entertainment,4-year BA/BS Degree (Business Administration or similar field),1
Miscellaneous,Facility Electrical Utility (High & Medium Voltage Systems),1
Retail and Consumer Goods,Prototyping,1
Retail and Consumer Goods,Provide coaching and guidance,1
Retail and Consumer Goods,Intelligent Automation,1
Services,First Aid certification,1
Technology,Proven ability to pursue new business opportunities,1
Healthcare and Medical,Electronic medical records systems,1
Healthcare and Medical,Cloud-based data management platform management,1
Services,Work with volunteers and interns,1
Transportation and Logistics,Three years' body shop experience,1
Technology,3-5 years of experience in a laboratory animal facility or animal care/husbandry setting,1
Healthcare and Medical,Experience in direct service,1
Technology,Groovy,1
Technology,Customer Relationship Management (CRM),1
Miscellaneous,Documentation skills,1
Services,Export Control Law Compliance,1
Healthcare and Medical,Bachelor's degree in Accounting or Finance,3
Services,Implement corrective action,1
Services,Technical Diploma,1
Real Estate and Construction,Associate’s degree,1
Real Estate and Construction,Detail-Orientation,1
Services,Product development support,1
Technology,"Collocation, wholesale experience",6
Technology,"Experience on daily operations of a Datacenter (Diesel Generator, UPS, HVAC)",2
Technology,Interpersonal communication,1
Manufacturing,Communication,1
Services,Train and mentor employees,1
Services,Application development/support knowledge,1
Services,Review project documents,1
Technology,ERP system boundary systems,1
Technology,Surface finish tools,1
Services,Excellent Verbal and Written Communication Skills,1
Media and Entertainment,Word,2
Services,Asset management ,1
Services,Storyboarding,1
Technology,Develops solutions for remediating or mitigating risks,1
Technology,Auto insurance,1
Technology,Strong oral and written communication skills,23
Technology,"Strong organizational, planning, and people management skills",1
Miscellaneous,10+ years progressive experience,1
Financial and Investment,Equipment operation,1
Media and Entertainment,Video Editing,1
Services,IT Audit experience (4+ years),1
Manufacturing,Change Management,1
Real Estate and Construction,Instruction interpretation,1
Real Estate and Construction,,1
Real Estate and Construction,Community Association Management,1
Healthcare and Medical,2+ years healthcare sales experience,1
Manufacturing,Product repackaging,1
Education and Training,Strategic thinking,1
Technology,Analytical ability ,1
Technology,B2B sales experience (3-8+ years),1
Technology,"Experience using telecommunications test equipment: optical power meters, OTDR, OSA, Ethernet/IP testers",1
Retail and Consumer Goods,Partnering with global and regional technology platform teams,1
Media and Entertainment,Client services leadership,2
Services,category management,1
Services,Maintain student records,1
Services,"Drive, pro activity and can-do-attitude",1
Retail and Consumer Goods,Strong written skills,1
Technology,Understands and applies relevant regulatory and legal compliance requirements,1
Services,Bachelor degree,1
Technology,Availability for training early December,1
Services,Excellent organizational skills,1
Technology,Bachelor's Degree,1
Technology,Ability to excel in a fast-paced environment,1
Technology, DNS,1
Technology,"Ability to identify, qualify and generate new business",2
Healthcare and Medical,Develop resident specific Montessori Based Dementia Program,1
Manufacturing,Rockwell Logix/Studio,1
Transportation and Logistics,High school diploma or GED,6
Retail and Consumer Goods,Talent development,1
Retail and Consumer Goods,"Support application reliability, rapid prototyping, and conceptual designs",1
